08.05;Deceased;the recently dead person.
09.05;Legacy;an amount of money or property left to someone in a will.
10.05;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
11.05;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
12.05;Brave;ready to face and endure danger or pain, showing courage.
13.05;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
14.05;Deceased;the recently dead person.
15.05;Legacy;an amount of money or property left to someone in a will.
16.05;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
17.05;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
18.05;Brave;ready to face and endure danger or pain, showing courage.
19.05;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
20.05;Deceased;the recently dead person.
21.05;Legacy;an amount of money or property left to someone in a will.
22.05;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
23.05;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
24.05;Brave;ready to face and endure danger or pain, showing courage.
25.05;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
26.05;Deceased;the recently dead person.
27.05;Legacy;an amount of money or property left to someone in a will.
28.05;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
29.05;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
30.05;Brave;ready to face and endure danger or pain, showing courage.
31.05;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
01.06;Deceased;the recently dead person.
02.06;Legacy;an amount of money or property left to someone in a will.
03.06;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
04.06;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
05.06;Brave;ready to face and endure danger or pain, showing courage.
06.06;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
07.06;Deceased;the recently dead person.
08.06;Legacy;an amount of money or property left to someone in a will.
09.06;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
10.06;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
11.06;Brave;ready to face and endure danger or pain, showing courage.
12.06;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
13.06;Deceased;the recently dead person.
14.06;Legacy;an amount of money or property left to someone in a will.
15.06;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
16.06;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
17.06;Brave;ready to face and endure danger or pain, showing courage.
18.06;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
19.06;Deceased;the recently dead person.
20.06;Legacy;an amount of money or property left to someone in a will.
21.06;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
22.06;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
23.06;Brave;ready to face and endure danger or pain, showing courage.
24.06;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
25.06;Deceased;the recently dead person.
26.06;Legacy;an amount of money or property left to someone in a will.
27.06;Emergency;a dangerous or serious situation, that happens suddenly or unexpectedly and needs immediate action.
28.06;Accessory;a thing which can be added to something else in order to make it more useful, versatile or attractive.
29.06;Brave;ready to face and endure danger or pain, showing courage.
30.06;Sternly;in a serious and severe manner, especially when asserting authority or exercising discipline.
